Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
02349,MA,NEWE,727.603
02350,MA,NEWE,727.603
02351,MA,NEWE,727.603
02355,MA,NEWE,727.603
02356,MA,NEWE,727.603
02357,MA,NEWE,727.603
02358,MA,NEWE,727.603
02359,MA,NEWE,727.603
02360,MA,NEWE,727.603
02361,MA,NEWE,727.603
02362,MA,NEWE,727.603
02364,MA,NEWE,727.603
02366,MA,NEWE,727.603
02367,MA,NEWE,727.603
02368,MA,NEWE,727.603
02370,MA,NEWE,727.603
02375,MA,NEWE,727.603
02379,MA,NEWE,727.603
02381,MA,NEWE,727.603
02382,MA,NEWE,727.603
02420,MA,NEWE,727.603
02421,MA,NEWE,727.603
02445,MA,NEWE,727.603
02446,MA,NEWE,727.603
02447,MA,NEWE,727.603
02451,MA,NEWE,727.603
02452,MA,NEWE,727.603
02453,MA,NEWE,727.603
02454,MA,NEWE,727.603
02455,MA,NEWE,727.603
02456,MA,NEWE,727.603
02457,MA,NEWE,727.603
02458,MA,NEWE,727.603
02459,MA,NEWE,727.603
02460,MA,NEWE,727.603
02461,MA,NEWE,727.603
02462,MA,NEWE,727.603
02464,MA,NEWE,727.603
02465,MA,NEWE,727.603
02466,MA,NEWE,727.603
02467,MA,NEWE,727.603
02468,MA,NEWE,727.603
02471,MA,NEWE,727.603
02472,MA,NEWE,727.603
02474,MA,NEWE,727.603
02475,MA,NEWE,727.603
02476,MA,NEWE,727.603
02477,MA,NEWE,727.603
02478,MA,NEWE,727.603
02479,MA,NEWE,727.603
02481,MA,NEWE,727.603
02482,MA,NEWE,727.603
02492,MA,NEWE,727.603
02493,MA,NEWE,727.603
02494,MA,NEWE,727.603
02495,MA,NEWE,727.603
02532,MA,NEWE,727.603
02534,MA,NEWE,727.603
02535,MA,NEWE,727.603
02536,MA,NEWE,727.603
02537,MA,NEWE,727.603
02538,MA,NEWE,727.603
02539,MA,NEWE,727.603
02540,MA,NEWE,727.603
02541,MA,NEWE,727.603
02542,MA,NEWE,727.603
02543,MA,NEWE,727.603
02552,MA,NEWE,727.603
02553,MA,NEWE,727.603
02554,MA,NEWE,727.603
02556,MA,NEWE,727.603
02557,MA,NEWE,727.603
02558,MA,NEWE,727.603
02559,MA,NEWE,727.603
02561,MA,NEWE,727.603
02562,MA,NEWE,727.603
02563,MA,NEWE,727.603
02564,MA,NEWE,727.603
