year,temp
382.62,23.26
382.75,23.58
382.77,22.05
382.8,23.67
382.84,23.67
382.89,24.07
382.91,23.17
383.02,22.72
383.08,23.58
383.09,23.53
383.12,22.72
383.16,22.05
383.19,22.63
383.22,20.65
383.25,20.2
383.32,20.56
383.35,22.23
383.4,23.76
383.42,23.13
383.43,22.95
383.56,22.32
383.67,20.56
383.99,19.08
384.01,20.11
384.02,19.84
384.18,21.69
384.22,20.97
384.33,20.25
384.34,25.6
384.42,19.84
384.43,18.4
384.48,20.47
384.52,19.35
384.62,17.64
385,19.98
385.48,18.31
385.79,22.23
386.1,25.6
386.33,24.7
386.4,18
386.41,25.15
386.69,27.85
386.74,18.67
386.99,24.79
386.99,24.07
387.02,25.96
387.15,21.19
387.16,24.43
387.25,25.15
387.25,29.52
387.26,24.39
387.27,23.98
387.29,22.95
387.63,24.7
387.64,19.89
388.13,21.46
388.42,19.84
388.49,23.53
388.98,18.67
389.21,24.48
389.55,20.38
389.61,22.14
389.76,24.21
389.8,20.92
390.67,28.98
390.86,20.79
390.93,25.24
391.09,21.73
391.1,23.8
391.11,27.76
391.33,24.07
391.37,25.65
391.44,19.75
391.54,26.23
391.57,22.77
391.85,27
391.92,25.38
391.99,22
392.22,23.67
392.49,22.41
392.54,22.05
392.7,19.98
392.85,22.86
393.09,23.71
393.17,20.34
393.18,25.65
393.46,26.68
393.6,22.32
393.6,25.92
393.73,22.81
394,24.48
394.14,22.68
394.23,24.43
394.56,23.17
394.59,24.88
394.64,22.95
394.76,20.79
394.85,24.61
395.12,25.29
395.32,23.22
395.57,22
395.66,22.86
395.95,21.24
396.07,21.64
396.99,20.61
397.14,19.62
397.24,21.15
397.71,20.65
397.89,22.59
398.03,23.04
398.39,19.48
398.84,21.01
398.99,22.45
399.32,22.27
399.46,19.03
400.11,25.65
400.43,24.07
410.35,22.32
410.78,22.14
411.03,29.7
411.13,30.06
411.39,28.08
411.46,27.99
411.52,32.17
411.62,25.87
411.66,34.47
411.87,30.15
412.73,32.4
412.83,34.02
412.94,27
413.11,28.44
413.29,32.08
413.36,29.25
414.32,31.68
414.94,29.25
415.97,33.03
416.27,26.91
417.02,32.31
417.11,29.16
417.2,31.18
417.46,28.8
417.5,31.86
417.9,29.65
418.36,26.14
418.46,29.25
418.5,29.97
418.55,30.33
418.66,29.43
418.73,26.55
418.81,32.85
419.01,34.2
419.06,31.32
419.09,33.3
419.13,31.86
419.15,32.58
419.39,32.67
419.58,34.74
419.6,29.65
419.65,35.77
419.76,32.76
419.9,35.55
419.98,33.52
420.05,33.21
420.05,35.82
420.13,35.82
420.23,33.52
420.27,35.59
420.51,34.42
420.68,35.77
420.76,34.47
420.77,37.35
420.9,37.17
421.15,36.45
421.27,38.07
421.4,36.18
421.51,35.64
421.64,35.91
421.73,35.37
421.83,27.81
421.96,35.64
422.05,34.33
422.28,33.3
422.39,35.19
422.65,31.59
422.78,31.27
422.86,33.3
422.93,32.94
422.96,31.77
422.97,30.96
422.98,26.91
423.01,40.36
423.03,35.86
423.04,33.79
423.14,32.17
423.23,30.6
423.35,30.69
423.45,32.85
423.47,29.7
423.52,29.16
423.55,29.07
423.6,28.48
423.71,31.45
423.77,29.25
423.81,32.44
423.87,35.05
423.92,32.13
423.97,32.53
424.01,35.91
424.28,35.77
374.46,29.65
374.52,30.1
374.6,31
374.98,31.9
375.38,28.75
375.51,30.1
376.2,28.3
378.83,27.4
378.88,22
378.91,26.5
379.09,22.45
380.95,27.4
381.8,29.2
382.52,26.05
382.71,27.4
382.74,25.6
382.77,26.5
382.86,24.7
382.87,26.05
383.15,29.2
383.24,31.45
383.24,23.35
383.3,31.9
383.4,28.3
383.41,32.35
383.44,27.85
383.45,29.2
383.47,28.3
383.48,30.1
383.49,31
383.49,31.9
383.51,31.45
383.52,31.9
383.52,32.35
383.53,33.25
383.55,26.5
369.5,31
370,31
370.188309,33.25
370.4834029,31.45
370.524739,30.55
370.7360125,31
370.8370564,31.45
370.9863257,33.25
371.0506263,30.55
371.1505219,31.45
371.252714,32.8
371.4019833,33.7
371.5730689,32.8
371.6901879,32.35
371.8050104,30.1
371.9255741,27.85
371.9370564,29.2
371.9979123,30.55
372.0495825,29.65
372.0759916,29.2
372.0759916,26.5
372.0759916,28.3
372.1161795,31.9
372.1161795,28.75
372.1161795,27.85
372.1425887,31.9
372.1506263,29.2
372.1609603,29.65
372.1678497,29.65
372.1758873,29.65
372.1758873,27.4
372.1873695,30.1
372.1873695,26.5
372.1931106,29.65
372.1931106,27.4
372.2,26.5
372.2,25.6
372.2161002,27.85
372.2241503,26.5
372.2330054,29.2
372.2330054,27.4
372.2418605,31.45
372.2499106,28.3
372.2595707,30.1
372.2668157,32.35
372.2796959,33.25
372.2837209,31
372.286941,31
372.294186,31.45
372.3062612,35.05
372.3279964,29.65
372.3392665,27.85
372.3392665,27.4
372.3392665,26.05
372.3923971,35.5
372.4141324,33.7
372.5091234,29.2
372.5252236,32.35
372.5469589,32.35
372.559839,29.2
372.5694991,29.2
372.6314848,35.5
372.6314848,28.75
372.6314848,27.4
372.6652952,30.1
372.6894454,31.9
372.6974955,32.8
372.6974955,31.45
372.741771,32.35
372.7860465,31
372.8359571,34.6
372.8705725,31
372.8939177,31.45
372.922093,31.45
372.9486583,27.85
372.9631485,34.6
372.9728086,31.45
372.9905188,27.4
373.013059,31.9
373.0194991,30.55
373.0645796,30.55
373.095975,30.55
373.1,30.55
373.1796959,33.25
373.190966,31
373.2988372,31.45
373.3769231,28.3
373.4525939,28.75
373.5049195,30.1
373.5330948,31.45
373.5894454,31.9
373.6216458,30.1
373.7182469,31.45
373.7745975,31
373.8269231,31.45
373.9017889,31.45
373.9476744,32.8
374.0563506,33.25
374.1288014,32.35
374.1972272,34.15
374.2455277,33.25
374.3220036,29.65
374.3944544,28.3
374.4427549,29.2
349.4,35.16725716
350.18,32.59526609
350.4,34.3006804
350.85,32.61185525
351.07,31.34651799
351.4,29.66098511
351.63,32.61007689
351.88,32.18696796
351.96,34.72687732
352.05,37.68387952
352.24,33.45347253
352.52,33.87828882
352.62,34.71984466
352.72,32.61049907
352.81,34.29218571
352.89,32.61693106
352.94,33.8854792
352.98,33.04326255
353.02,28.82276372
353.08,32.61327011
353.11,32.19737649
353.15,35.55955063
353.17,31.35318293
353.22,38.08474343
353.27,34.71801333
353.32,33.87017902
353.37,35.58321008
353.41,33.89183697
353.45,33.87799484
325.11,21.21770447
325.55,22.48227639
325.64,22.05932554
325.78,28.38295549
325.85,23.33140296
325.9,27.96838483
326.12,26.29181491
326.27,22.90665013
326.39,24.59420234
326.58,25.85306259
326.77,29.22648117
327.12,25.02189705
327.17,29.2346705
327.25,28.39121798
327.37,33.03290888
327.49,26.27845056
327.51,33.86716497
327.59,27.12406269
327.62,30.92325813
327.74,23.32413215
327.99,27.96719078
328.11,30.92745436
328.5,26.28157935
328.85,27.54454572
329.14,34.29736484
330.86,27.98363015
334.09,28.81980451
334.25,30.49317646
334.52,29.65088955
335.53,31.76644914
336.95,26.70944574
339.64,30.50995867
344.46,31.34343024
344.88,27.96690678
345.92,32.61594585
346.07,31.3517078
346.22,30.89838165
346.36,30.92842734
346.44,35.54671679
346.5,31.33966921
346.53,30.08648725
346.6,33.45226152
346.63,28.82438474
346.69,29.24355846
346.73,25.86199769
346.78,23.74776913
346.96,29.22849768
347.03,33.88944715
347.11,33.45360675
347.17,30.07533518
347.33,29.22693312
347.34,27.12179493
347.34,33.02890055
347.53,29.66883025
347.92,30.91824064
347.98,29.66829527
348.02,29.66496088
348.05,28.39402464
348.08,30.08070187
348.16,30.08796675
348.29,27.12528204
348.54,25.86134015
348.58,27.96757458
349.54,31.76522877
350.22,24.59006251
351.09,33.4488611
351.36,30.0880462
352.83,33.43727338
353.13,31.77189865
353.16,33.03812609
353.3,32.17318714
353.49,30.93018366
355.6,31.7598729
356.39,32.18792349
356.57,32.17613708
356.66,31.34684636
356.92,29.66614635
357.27,31.33404277
357.45,35.57707902
357.6,32.19684256
357.64,26.70400759
357.68,31.77584396
357.73,38.09486357
357.76,30.92733268
357.77,28.39528944
357.8,33.04391154
357.8,29.22969249
357.82,30.92800627
357.84,31.35201857
357.85,33.46415912
357.87,38.51992324
357.87,33.47404752
357.89,35.99209827
357.91,33.46804437
357.93,33.03292966
357.93,33.03069376
357.94,32.1938263
358,33.87270426
358.04,28.39863877
358.08,35.56449497
358.12,33.44673689
358.12,33.02910282
358.14,31.35260657
358.18,33.45642483
358.22,34.28423746
358.22,35.98281418
358.23,36.00286261
358.3,30.50376153
358.3,32.19853677
358.3,33.8792413
358.33,30.91960689
358.37,32.61016293
358.4,33.02517209
358.43,32.60647694
358.48,32.61331917
358.5,33.8695851
358.5,30.49964474
358.51,35.57942218
358.68,30.50307162
358.73,34.30114861
358.74,30.93468336
358.79,33.46889641
358.95,30.91278463
359.12,33.44651874
359.29,33.04486751
359.45,31.33724485
359.95,35.55600385
360.33,33.02386235
360.37,33.03841448
346.43,35.99632278
346.99,33.46863308
347.34,31.76957949
347.68,30.91646719
348.03,30.91725113
348.66,30.91414013
348.9,31.76907865
349.15,31.34745044
349.56,32.180632
349.84,32.17568796
349.94,34.29264738
349.99,35.12521112
350.01,31.76659604
350.07,32.6058168
350.17,32.1860573
350.21,22.89858381
350.26,32.6043108
350.31,32.19324685
350.42,26.27790915
350.43,31.75897398
350.56,30.50796972
350.61,31.76562305
350.67,27.54666876
350.67,34.72233359
350.68,27.95385848
350.78,35.57919115
350.83,35.13939014
350.86,30.5046473
350.86,39.79918263
350.93,41.45694814
350.96,33.87177852
350.99,38.0973532
351.01,33.86475596
351.02,29.23151067
351.09,41.04732999
351.11,29.22952261
351.17,28.80311107
351.22,42.70485568
351.29,41.87715915
351.29,32.19079225
351.35,33.03775805
351.39,30.50885055
351.4,33.46452512
351.41,29.65345571
351.43,32.61339539
351.45,29.64460822
351.47,27.9676017
351.48,33.8639304
351.52,30.50214429
351.56,34.73149977
351.56,27.97532832
351.68,34.31264175
351.78,33.46040305
351.9,33.44927176
351.92,32.19061093
352.15,33.03319073
352.17,31.76595568
352.41,31.76944009
352.53,31.34106481
352.62,36.41328539
353.17,34.2891227
353.21,32.62428998
354.76,38.93816423
355.06,34.29982019
355.54,34.72381098
